Package,Class,Field,Type,Description Rating,Has Example?
ExcelScript,ExcelScript.AggregationFunction,N/A,Enum,Good,true
ExcelScript,ExcelScript.AggregationFunction,"automatic",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"average",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"count",EnumField,Excellent,false
ExcelScript,ExcelScript.AggregationFunction,"countNumbers",EnumField,Excellent,false
ExcelScript,ExcelScript.AggregationFunction,"max",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"min",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"product",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"standardDeviation",EnumField,Excellent,false
ExcelScript,ExcelScript.AggregationFunction,"standardDeviationP",EnumField,Excellent,false
ExcelScript,ExcelScript.AggregationFunction,"sum",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"unknown",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"variance",EnumField,Great,false
ExcelScript,ExcelScript.AggregationFunction,"varianceP",EnumField,Great,false
ExcelScript,ExcelScript.AllowEditRange,N/A,Interface,Excellent,false
ExcelScript,ExcelScript.AllowEditRange,"delete()",Method,Excellent,false
ExcelScript,ExcelScript.AllowEditRange,"getAddress()",Method,Fine,false
ExcelScript,ExcelScript.AllowEditRange,"getIsPasswordProtected()",Method,Good,false
ExcelScript,ExcelScript.AllowEditRange,"getTitle()",Method,Fine,false
ExcelScript,ExcelScript.AllowEditRange,"pauseProtection(password)",Method,Excellent,false
ExcelScript,ExcelScript.AllowEditRange,"setAddress(address)",Method,Excellent,false
ExcelScript,ExcelScript.AllowEditRange,"setPassword(password)",Method,Excellent,false
ExcelScript,ExcelScript.AllowEditRange,"setTitle(title)",Method,Excellent,false
ExcelScript,ExcelScript.AllowEditRangeOptions,N/A,Interface,Fine,true
ExcelScript,ExcelScript.AllowEditRangeOptions,"password",Property,Great,false
ExcelScript,ExcelScript.Application,N/A,Interface,Fine,false
ExcelScript,ExcelScript.Application,"calculate(calculationType)",Method,Fine,true
ExcelScript,ExcelScript.Application,"getCalculationEngineVersion()",Method,Good,false
ExcelScript,ExcelScript.Application,"getCalculationMode()",Method,Excellent,false
ExcelScript,ExcelScript.Application,"getCalculationState()",Method,Good,true
ExcelScript,ExcelScript.Application,"getCultureInfo()",Method,Good,false
ExcelScript,ExcelScript.Application,"getDecimalSeparator()",Method,Good,false
ExcelScript,ExcelScript.Application,"getIterativeCalculation()",Method,Excellent,false
ExcelScript,ExcelScript.Application,"getThousandsSeparator()",Method,Good,false
ExcelScript,ExcelScript.Application,"getUseSystemSeparators()",Method,Great,false
ExcelScript,ExcelScript.Application,"setCalculationMode(calculationMode)",Method,Excellent,false
ExcelScript,ExcelScript.ArrowheadLength,N/A,Enum,Missing,true
ExcelScript,ExcelScript.ArrowheadLength,"long",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadLength,"medium",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadLength,"short",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadStyle,N/A,Enum,Missing,true
ExcelScript,ExcelScript.ArrowheadStyle,"diamond",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadStyle,"none",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadStyle,"open",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadStyle,"oval",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadStyle,"stealth",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadStyle,"triangle",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadWidth,N/A,Enum,Missing,true
ExcelScript,ExcelScript.ArrowheadWidth,"medium",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadWidth,"narrow",EnumField,Missing,false
ExcelScript,ExcelScript.ArrowheadWidth,"wide",EnumField,Missing,false
ExcelScript,ExcelScript.AutoFillType,N/A,Enum,Good,true
ExcelScript,ExcelScript.AutoFillType,"fillCopy",EnumField,Great,false
ExcelScript,ExcelScript.AutoFillType,"fillDays",EnumField,Excellent,false
ExcelScript,ExcelScript.AutoFillType,"fillDefault",EnumField,Excellent,false
ExcelScript,ExcelScript.AutoFillType,"fillFormats",EnumField,Great,false
ExcelScript,ExcelScript.AutoFillType,"fillMonths",EnumField,Great,false
ExcelScript,ExcelScript.AutoFillType,"fillSeries",EnumField,Excellent,false
ExcelScript,ExcelScript.AutoFillType,"fillValues",EnumField,Great,false
ExcelScript,ExcelScript.AutoFillType,"fillWeekdays",EnumField,Excellent,false
ExcelScript,ExcelScript.AutoFillType,"fillYears",EnumField,Great,false
ExcelScript,ExcelScript.AutoFillType,"flashFill",EnumField,Great,false
ExcelScript,ExcelScript.AutoFillType,"growthTrend",EnumField,Excellent,false
ExcelScript,ExcelScript.AutoFillType,"linearTrend",EnumField,Excellent,false
ExcelScript,ExcelScript.AutoFilter,N/A,Interface,Good,true
ExcelScript,ExcelScript.AutoFilter,"apply(range, columnIndex, criteria)",Method,Great,true
ExcelScript,ExcelScript.AutoFilter,"clearColumnCriteria(columnIndex)",Method,Fine,false
ExcelScript,ExcelScript.AutoFilter,"clearCriteria()",Method,Fine,true
ExcelScript,ExcelScript.AutoFilter,"getCriteria()",Method,Fine,false
ExcelScript,ExcelScript.AutoFilter,"getEnabled()",Method,Good,false
ExcelScript,ExcelScript.AutoFilter,"getIsDataFiltered()",Method,Good,false
ExcelScript,ExcelScript.AutoFilter,"getRange()",Method,Great,false
ExcelScript,ExcelScript.AutoFilter,"reapply()",Method,Fine,false
ExcelScript,ExcelScript.AutoFilter,"remove()",Method,Fine,false
ExcelScript,ExcelScript.BasicDataValidation,N/A,Interface,Fine,true
ExcelScript,ExcelScript.BasicDataValidation,"formula1",Property,Excellent,false
ExcelScript,ExcelScript.BasicDataValidation,"formula2",Property,Excellent,false
ExcelScript,ExcelScript.BasicDataValidation,"operator",Property,Great,false
ExcelScript,ExcelScript.Binding,N/A,Interface,Fine,false
ExcelScript,ExcelScript.Binding,"delete()",Method,Poor,false
ExcelScript,ExcelScript.Binding,"getId()",Method,Fine,false
ExcelScript,ExcelScript.Binding,"getRange()",Method,Excellent,false
ExcelScript,ExcelScript.Binding,"getTable()",Method,Excellent,false
ExcelScript,ExcelScript.Binding,"getText()",Method,Excellent,false
ExcelScript,ExcelScript.Binding,"getType()",Method,Good,false
ExcelScript,ExcelScript.BindingType,N/A,Enum,Missing,false
