Class,Field,Type,Description Rating,Has Example?
ExcelScript.AggregationFunction,N/A,Class,Poor,false
ExcelScript.AggregationFunction,automatic,EnumField,Fine,false
ExcelScript.AggregationFunction,average,EnumField,Fine,false
ExcelScript.AggregationFunction,count,EnumField,Fine,false
ExcelScript.AggregationFunction,countNumbers,EnumField,Fine,false
ExcelScript.AggregationFunction,max,EnumField,Fine,false
ExcelScript.AggregationFunction,min,EnumField,Fine,false
ExcelScript.AggregationFunction,product,EnumField,Fine,false
ExcelScript.AggregationFunction,standardDeviation,EnumField,Fine,false
ExcelScript.AggregationFunction,standardDeviationP,EnumField,Fine,false
ExcelScript.AggregationFunction,sum,EnumField,Fine,false
ExcelScript.AggregationFunction,unknown,EnumField,Poor,false
ExcelScript.AggregationFunction,variance,EnumField,Fine,false
ExcelScript.AggregationFunction,varianceP,EnumField,Fine,false
ExcelScript.Application,N/A,Class,Poor,false
ExcelScript.Application,calculate(calculationType),Method,Poor,false
ExcelScript.Application,getCalculationEngineVersion(),Method,Fine,false
ExcelScript.Application,getCalculationMode(),Method,Good,false
ExcelScript.Application,getCalculationState(),Method,Good,false
ExcelScript.Application,getCultureInfo(),Method,Good,false
ExcelScript.Application,getDecimalSeparator(),Method,Good,false
ExcelScript.Application,getIterativeCalculation(),Method,Good,false
ExcelScript.Application,getThousandsSeparator(),Method,Good,false
ExcelScript.Application,getUseSystemSeparators(),Method,Good,false
ExcelScript.Application,setCalculationMode(calculationMode),Method,Good,false
ExcelScript.ArrowheadLength,N/A,Class,Missing,false
ExcelScript.ArrowheadLength,long,EnumField,Missing,false
ExcelScript.ArrowheadLength,medium,EnumField,Missing,false
ExcelScript.ArrowheadLength,short,EnumField,Missing,false
ExcelScript.ArrowheadStyle,N/A,Class,Missing,false
ExcelScript.ArrowheadStyle,diamond,EnumField,Missing,false
ExcelScript.ArrowheadStyle,none,EnumField,Missing,false
ExcelScript.ArrowheadStyle,open,EnumField,Missing,false
ExcelScript.ArrowheadStyle,oval,EnumField,Missing,false
ExcelScript.ArrowheadStyle,stealth,EnumField,Missing,false
ExcelScript.ArrowheadStyle,triangle,EnumField,Missing,false
ExcelScript.ArrowheadWidth,N/A,Class,Missing,false
ExcelScript.ArrowheadWidth,medium,EnumField,Missing,false
ExcelScript.ArrowheadWidth,narrow,EnumField,Missing,false
ExcelScript.ArrowheadWidth,wide,EnumField,Missing,false
ExcelScript.AutoFillType,N/A,Class,Fine,true
ExcelScript.AutoFillType,fillCopy,EnumField,Fine,false
ExcelScript.AutoFillType,fillDays,EnumField,Fine,false
ExcelScript.AutoFillType,fillDefault,EnumField,Fine,false
ExcelScript.AutoFillType,fillFormats,EnumField,Poor,false
ExcelScript.AutoFillType,fillMonths,EnumField,Fine,false
ExcelScript.AutoFillType,fillSeries,EnumField,Fine,false
ExcelScript.AutoFillType,fillValues,EnumField,Poor,false
ExcelScript.AutoFillType,fillWeekdays,EnumField,Fine,false
ExcelScript.AutoFillType,fillYears,EnumField,Fine,false
ExcelScript.AutoFillType,flashFill,EnumField,Fine,false
ExcelScript.AutoFillType,growthTrend,EnumField,Fine,false
ExcelScript.AutoFillType,linearTrend,EnumField,Fine,false
ExcelScript.AutoFilter,N/A,Class,Good,true
ExcelScript.AutoFilter,apply(range,Method,Good,true
ExcelScript.AutoFilter,clearCriteria(),Method,Fine,true
ExcelScript.AutoFilter,getCriteria(),Method,Fine,false
ExcelScript.AutoFilter,getEnabled(),Method,Poor,false
ExcelScript.AutoFilter,getIsDataFiltered(),Method,Poor,false
ExcelScript.AutoFilter,getRange(),Method,Good,false
ExcelScript.AutoFilter,reapply(),Method,Poor,false
ExcelScript.AutoFilter,remove(),Method,Poor,false
ExcelScript.BasicDataValidation,N/A,Class,Poor,false
ExcelScript.BasicDataValidation,formula1,Method,Good,false
ExcelScript.BasicDataValidation,formula2,Method,Good,false
ExcelScript.BasicDataValidation,operator,Method,Poor,false
ExcelScript.Binding,N/A,Class,Fine,false
ExcelScript.Binding,delete(),Method,Poor,false
ExcelScript.Binding,getId(),Method,Poor,false
ExcelScript.Binding,getRange(),Method,Good,false
ExcelScript.Binding,getTable(),Method,Good,false
ExcelScript.Binding,getText(),Method,Good,false
ExcelScript.Binding,getType(),Method,Good,false
ExcelScript.BindingType,N/A,Class,Missing,false
ExcelScript.BindingType,range,EnumField,Missing,false
ExcelScript.BindingType,table,EnumField,Missing,false
ExcelScript.BindingType,text,EnumField,Missing,false
ExcelScript.BorderIndex,N/A,Class,Missing,false
ExcelScript.BorderIndex,diagonalDown,EnumField,Missing,false
ExcelScript.BorderIndex,diagonalUp,EnumField,Missing,false
ExcelScript.BorderIndex,edgeBottom,EnumField,Missing,false
ExcelScript.BorderIndex,edgeLeft,EnumField,Missing,false
ExcelScript.BorderIndex,edgeRight,EnumField,Missing,false
ExcelScript.BorderIndex,edgeTop,EnumField,Missing,false
ExcelScript.BorderIndex,insideHorizontal,EnumField,Missing,false
ExcelScript.BorderIndex,insideVertical,EnumField,Missing,false
ExcelScript.BorderLineStyle,N/A,Class,Missing,false
ExcelScript.BorderLineStyle,continuous,EnumField,Missing,false
ExcelScript.BorderLineStyle,dash,EnumField,Missing,false
ExcelScript.BorderLineStyle,dashDot,EnumField,Missing,false
ExcelScript.BorderLineStyle,dashDotDot,EnumField,Missing,false
ExcelScript.BorderLineStyle,dot,EnumField,Missing,false
ExcelScript.BorderLineStyle,double,EnumField,Missing,false
ExcelScript.BorderLineStyle,none,EnumField,Missing,false
ExcelScript.BorderLineStyle,slantDashDot,EnumField,Missing,false
ExcelScript.BorderWeight,N/A,Class,Missing,false
ExcelScript.BorderWeight,hairline,EnumField,Missing,false
ExcelScript.BorderWeight,medium,EnumField,Missing,false
ExcelScript.BorderWeight,thick,EnumField,Missing,false
ExcelScript.BorderWeight,thin,EnumField,Missing,false
ExcelScript.BuiltInStyle,N/A,Class,Missing,false
ExcelScript.BuiltInStyle,accent1,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent1_20,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent1_40,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent1_60,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent2,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent2_20,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent2_40,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent2_60,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent3,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent3_20,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent3_40,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent3_60,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent4,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent4_20,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent4_40,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent4_60,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent5,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent5_20,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent5_40,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent5_60,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent6,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent6_20,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent6_40,EnumField,Missing,false
ExcelScript.BuiltInStyle,accent6_60,EnumField,Missing,false
ExcelScript.BuiltInStyle,bad,EnumField,Missing,false
ExcelScript.BuiltInStyle,calculation,EnumField,Missing,false
ExcelScript.BuiltInStyle,checkCell,EnumField,Missing,false
ExcelScript.BuiltInStyle,comma,EnumField,Missing,false
ExcelScript.BuiltInStyle,currency,EnumField,Missing,false
ExcelScript.BuiltInStyle,emphasis1,EnumField,Missing,false
ExcelScript.BuiltInStyle,emphasis2,EnumField,Missing,false
ExcelScript.BuiltInStyle,emphasis3,EnumField,Missing,false
ExcelScript.BuiltInStyle,explanatoryText,EnumField,Missing,false
ExcelScript.BuiltInStyle,good,EnumField,Missing,false
ExcelScript.BuiltInStyle,heading1,EnumField,Missing,false
ExcelScript.BuiltInStyle,heading2,EnumField,Missing,false
ExcelScript.BuiltInStyle,heading3,EnumField,Missing,false
ExcelScript.BuiltInStyle,heading4,EnumField,Missing,false
ExcelScript.BuiltInStyle,hlink,EnumField,Missing,false
ExcelScript.BuiltInStyle,hlinkTrav,EnumField,Missing,false
ExcelScript.BuiltInStyle,input,EnumField,Missing,false
ExcelScript.BuiltInStyle,linkedCell,EnumField,Missing,false
ExcelScript.BuiltInStyle,neutral,EnumField,Missing,false
ExcelScript.BuiltInStyle,normal,EnumField,Missing,false
ExcelScript.BuiltInStyle,note,EnumField,Missing,false
ExcelScript.BuiltInStyle,output,EnumField,Missing,false
ExcelScript.BuiltInStyle,percent,EnumField,Missing,false
ExcelScript.BuiltInStyle,sheetTitle,EnumField,Missing,false
ExcelScript.BuiltInStyle,total,EnumField,Missing,false
ExcelScript.BuiltInStyle,warningText,EnumField,Missing,false
ExcelScript.BuiltInStyle,wholeComma,EnumField,Missing,false
ExcelScript.BuiltInStyle,wholeDollar,EnumField,Missing,false
ExcelScript.CalculationMode,N/A,Class,Missing,false
ExcelScript.CalculationMode,automatic,EnumField,Fine,false
ExcelScript.CalculationMode,automaticExceptTables,EnumField,Fine,false
ExcelScript.CalculationMode,manual,EnumField,Fine,false
ExcelScript.CalculationState,N/A,Class,Fine,false
ExcelScript.CalculationState,calculating,EnumField,Poor,false
ExcelScript.CalculationState,done,EnumField,Poor,false
ExcelScript.CalculationState,pending,EnumField,Fine,false
ExcelScript.CalculationType,N/A,Class,Missing,false
